Term	Instance	Annotation
climatico	Gli accordi internazionali sul clima non vengono rispettati, ogni nuovo dato ufficiale condiviso dal Gruppo intergovernativo sul cambiamento climatico dell’Onu (Ipcc) dipinge una situazione sempre più drammatica.	neg
climatico	"22 aprile 2020In occasione della 50esima Giornata della Terra, il 22 aprile, la giovane attivista svedese Greta Thunberg e il direttore dell'Istituto di ricerca sull'impatto climatico di Potsdam in Germania Johan Rockström ""si sono incontrati in videoconferenza"" per una conversazione digitale sui temi del coraggio, della solidarietà e delle opportunità in tempi di crisi."	neu
climatico	L’avanzante mutamento climatico ne è l’esempio più evidente e drammatico.	neg
climatico	Ha cominciato il 16 dicembre 2018 sul palco della COP24, la conferenza delle Nazioni Unite sul cambiamento climatico, a Katowice, in Polonia.	neu
climatico	Intanto il ministro Costa annuncia che il primo Cop giovani si terrà a Milano il prossimo ottobre e che Greta è già stata invitata “Per i leader dei Paesi più ricchi non c’è panico, non c’è un senso di emergenza sul cambiamento climatico.	pos
climatico	Grazie alla risonanza mediatica della sua vicenda, nel dicembre 2018 Greta Thunberg ha partecipato al COP24 a Katowice, in Polonia, la conferenza delle Nazioni Unite per il cambiamento climatico, dove ha tenuto un discorso che è presto diventato virale.	neu
climatico	“È il cambiamento che fa bene contrapposto al cambiamento climatico”.	pos
climatico	"Eppure, affermano Greta, Luisa e Angela, ""i politici e le aziende produttrici di combustibili fossili conoscono il cambiamento climatico da decenni."	neg
climatico	La manifestazione fa parte della rete #FridaysforFuture che basa il suo impegno a partire dall’idea di Greta Thunberg, una ragazzina svedese di 16 anni che ogni venerdì protesta davanti alla sede nazionale del parlamento contro il cambiamento climatico ed il riscaldamento globale.	neu
climatico	L’adolescente affetta dalla sindrome di Asperger che lotta contro il cambiamento climatico è diventata un simbolo globale, citata di recente anche dal presidente della Repubblica Sergio Mattarella.	neu
climatico	Era il 20 agosto 2018 quando l'allora 15enne attivista svedese inaugurava il suo primo sciopero contro il cambiamento climatico.	neu
climatico	non andrà più a scuola fino alle elezioni legislative del 9 settembre 2018 in Svezia, in segno di protesta contro il cambiamento climatico Una decisione presa dopo che forti ondate di calore hanno colpito il suo Paese, provocando anche incendi nei boschi Greta chiede al governo svedese di ridurre le emissioni di anidride carbonica come previsto dall’accordo di Parigi e ogni giorno, durante l’orario scolastico, sta seduta davanti al Parlamento	neg
climatico	Il 25 gennaio 2019, Greta, che nel mentre ha compiuto 16 anni, interviene al Forum mondiale economico di Davos, portando anche qui il tema del cambiamento climatico	neu
climatico	in quell'occasione simulano un'estinzione di massa causata dal cambiamento climatico.	neg
climatico	"Riconoscendo che la sua generazione subirà l'impatto peggiore del cambiamento climatico - scrive l'ex presidente Usa, che la ospita negli uffici della sua fondazione - Greta non teme di spingere per un'azione vera.	
"	neg
